time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-08-08 03:52:00,57277.85,57246.45,57277.85,7.927,454032.65,57258.17,direct,
2024-08-08 03:53:00,57262.98,57190.31,57258.17,15.23,871406.87,57213.91,direct,
2024-08-08 03:54:00,57221.06,57179.33,57213.91,14.65,838070.53,57187.72,direct,
2024-08-08 03:55:00,57204.31,57182.07,57187.72,7.055,403509.73,57198.85,direct,
2024-08-08 03:56:00,57202.65,57175.52,57198.85,4.105,234813.66,57175.85,direct,
2024-08-08 03:57:00,57185.53,57160.71,57175.85,17.74,1014348.9,57171.09,direct,
2024-08-08 03:58:00,57171.11,57131.01,57171.09,47.33,2705405.48,57140.18,direct,
2024-08-08 03:59:00,57141.74,57068.18,57140.18,25.96,1482453.66,57073.65,direct,
2024-08-08 04:00:00,57144.2,57073.64,57073.65,37.17,2122716.51,57123.6,direct,
2024-08-08 04:01:00,57125.19,57087.31,57123.6,14.54,830157.46,57098.08,direct,
2024-08-08 04:02:00,57137.65,57092.74,57098.08,7.564,432033.88,57130.24,direct,
2024-08-08 04:03:00,57137.34,57088.04,57130.24,27.91,1594378.73,57117.03,direct,
2024-08-08 04:04:00,57117.13,57052.9,57117.03,9.933,567081.01,57052.9,direct,
2024-08-08 04:05:00,57052.9,56994.38,57052.9,18.82,1073025.95,57012.55,direct,
2024-08-08 04:06:00,57015.22,56864.21,57012.55,67.97,3869460.42,56878.9,direct,
2024-08-08 04:07:00,56928.53,56862.27,56878.9,29.2,1661972.26,56928.53,direct,
2024-08-08 04:08:00,56991.61,56910.54,56928.53,14.6,831600.46,56981.07,direct,
2024-08-08 04:09:00,56981.07,56930.2,56981.07,11.67,664992.79,56961.32,direct,
2024-08-08 04:10:00,57049.48,56953.38,56961.32,13.5,769809.21,57049.48,direct,
2024-08-08 04:11:00,57244.97,57049.48,57049.48,35.56,2033128.52,57214.04,direct,
2024-08-08 04:12:00,57214.04,57155.95,57214.04,21.71,1241764.83,57162.97,direct,
2024-08-08 04:13:00,57189.67,57152.74,57162.97,10.73,613321.07,57186.81,direct,
2024-08-08 04:14:00,57240.48,57184.68,57186.81,27.53,1575280.41,57208.53,direct,
2024-08-08 04:15:00,57208.53,57182.35,57208.53,16.49,943390.36,57204.05,direct,
2024-08-08 04:16:00,57206.52,57161.4,57204.05,10.05,575013.6,57176.09,direct,
2024-08-08 04:17:00,57230.9,57171.94,57176.09,11.64,665758.36,57205.76,direct,
2024-08-08 04:18:00,57207.44,57185.88,57205.76,9.606,549420.16,57201.87,direct,
2024-08-08 04:19:00,57207.14,57182.86,57201.87,4.377,250398.64,57187.03,direct,
2024-08-08 04:20:00,57210.03,57180.7,57187.03,6.855,392103.8,57200.69,direct,
2024-08-08 04:21:00,57224.55,57200.69,57200.69,7.545,431737.91,57204.39,direct,
2024-08-08 04:22:00,57220.16,57179.8,57204.39,7.469,427256.31,57216.6,direct,
2024-08-08 04:23:00,57217.0,57187.96,57216.6,8.71,498222.17,57190.26,direct,
2024-08-08 04:24:00,57190.26,57126.42,57190.26,16.53,944725.64,57136.23,direct,
2024-08-08 04:25:00,57145.58,57096.64,57136.23,14.04,802268.4,57096.64,direct,
2024-08-08 04:26:00,57096.64,57033.66,57096.64,11.05,630747.9,57095.36,direct,
2024-08-08 04:27:00,57114.55,57063.14,57095.36,9.042,516148.97,57074.3,direct,
2024-08-08 04:28:00,57075.41,57026.99,57074.3,7.14,407313.0,57036.06,direct,
2024-08-08 04:29:00,57038.5,57004.27,57036.06,18.33,1045065.96,57017.24,direct,
2024-08-08 04:30:00,57038.47,56971.24,57017.24,10.9,621133.66,56973.36,direct,
2024-08-08 04:31:00,56993.92,56966.63,56973.36,6.517,371306.6,56973.02,direct,
2024-08-08 04:32:00,56974.08,56922.33,56973.02,9.577,545301.32,56934.12,direct,
2024-08-08 04:33:00,56972.68,56924.81,56934.12,9.325,530939.55,56972.1,direct,
2024-08-08 04:34:00,57021.61,56960.72,56972.1,11.13,634157.81,57015.5,direct,
2024-08-08 04:35:00,57015.5,56998.18,57015.5,7.996,455794.13,57011.92,direct,
2024-08-08 04:36:00,57013.38,56904.44,57011.92,16.79,956054.2,56918.35,direct,
2024-08-08 04:37:00,56918.35,56898.42,56918.35,9.881,562357.0,56900.57,direct,
2024-08-08 04:38:00,56950.95,56900.57,56900.57,5.707,324923.87,56945.3,direct,
2024-08-08 04:39:00,56947.62,56934.22,56945.3,3.627,206504.67,56943.03,direct,
